time,open,high,low,close
2022-01-03 04:00:00+05:30,23.3197,23.3998,23.1,23.141
2022-01-03 08:00:00+05:30,23.13,23.1977,23.05,23.1598
2022-01-03 12:00:00+05:30,23.149,23.297,23.04,23.241
2022-01-03 16:00:00+05:30,23.233,23.2535,22.65,22.743
2022-01-03 20:00:00+05:30,22.741,22.983,22.71,22.86
2022-01-04 00:00:00+05:30,22.861,22.926,22.81,22.8778
2022-01-04 04:00:00+05:30,22.8717,23.023,22.71,22.74
2022-01-04 08:00:00+05:30,22.7498,22.8127,22.68,22.735
2022-01-04 12:00:00+05:30,22.7378,22.874,22.72,22.8
2022-01-04 16:00:00+05:30,22.806,23.031,22.62,23.0188
2022-01-04 20:00:00+05:30,23.007,23.095,22.92,23.03
2022-01-05 00:00:00+05:30,23.016,23.0698,23.0,23.035
2022-01-05 04:00:00+05:30,23.033,23.0648,22.94,22.998
2022-01-05 08:00:00+05:30,22.9976,23.003,22.84,22.873
2022-01-05 12:00:00+05:30,22.874,23.08,22.83,23.03
2022-01-05 16:00:00+05:30,23.033,23.251,22.96,23.138
2022-01-05 20:00:00+05:30,23.138,23.1767,23.03,23.1328
2022-01-06 00:00:00+05:30,23.119,23.1347,22.7,22.79
2022-01-06 04:00:00+05:30,22.7761,22.825,22.63,22.7
2022-01-06 08:00:00+05:30,22.699,22.7117,22.49,22.5687
2022-01-06 12:00:00+05:30,22.568,22.611,22.11,22.33
2022-01-06 16:00:00+05:30,22.347,22.364,21.98,22.166
2022-01-06 20:00:00+05:30,22.151,22.2458,21.99,22.113
2022-01-07 00:00:00+05:30,22.102,22.204,22.08,22.191
2022-01-07 04:00:00+05:30,22.1637,22.2118,22.08,22.1458
2022-01-07 08:00:00+05:30,22.133,22.1599,21.98,22.073
2022-01-07 12:00:00+05:30,22.059,22.223,22.0,22.143
2022-01-07 16:00:00+05:30,22.134,22.268,21.92,22.1668
2022-01-07 20:00:00+05:30,22.154,22.433,22.0,22.362
2022-01-08 00:00:00+05:30,22.345,22.391,22.26,22.343
2022-01-10 04:00:00+05:30,22.3277,22.409,22.23,22.272
2022-01-10 08:00:00+05:30,22.26,22.2967,22.19,22.227
2022-01-10 12:00:00+05:30,22.213,22.4858,22.17,22.44
2022-01-10 16:00:00+05:30,22.447,22.502,22.21,22.3163
2022-01-10 20:00:00+05:30,22.304,22.514,22.26,22.4318
2022-01-11 00:00:00+05:30,22.42,22.488,22.38,22.436
2022-01-11 04:00:00+05:30,22.4397,22.559,22.41,22.522
2022-01-11 08:00:00+05:30,22.5187,22.65,22.46,22.561
2022-01-11 12:00:00+05:30,22.5558,22.674,22.48,22.51
2022-01-11 16:00:00+05:30,22.511,22.669,22.44,22.5438
2022-01-11 20:00:00+05:30,22.5448,22.782,22.47,22.772
2022-01-12 00:00:00+05:30,22.772,22.801,22.72,22.7648
2022-01-12 04:00:00+05:30,22.748,22.789,22.67,22.71
2022-01-12 08:00:00+05:30,22.726,22.8448,22.7,22.8098
2022-01-12 12:00:00+05:30,22.799,22.816,22.61,22.71
2022-01-12 16:00:00+05:30,22.715,23.072,22.67,22.997
2022-01-12 20:00:00+05:30,22.997,23.209,22.93,23.141
2022-01-13 00:00:00+05:30,23.143,23.218,23.103,23.131
2022-01-13 04:00:00+05:30,23.116,23.215,23.08,23.17
2022-01-13 08:00:00+05:30,23.154,23.222,23.06,23.087
2022-01-13 12:00:00+05:30,23.075,23.1938,23.04,23.158
2022-01-13 16:00:00+05:30,23.142,23.265,23.06,23.143
2022-01-13 20:00:00+05:30,23.124,23.1885,22.97,23.11
2022-01-14 00:00:00+05:30,23.112,23.156,23.02,23.074
2022-01-14 04:00:00+05:30,23.048,23.113,23.0,23.103
2022-01-14 08:00:00+05:30,23.088,23.205,23.07,23.171
2022-01-14 12:00:00+05:30,23.177,23.305,23.06,23.11
2022-01-14 16:00:00+05:30,23.114,23.133,22.84,23.056
2022-01-14 20:00:00+05:30,23.045,23.067,22.8,22.86
2022-01-15 00:00:00+05:30,22.8804,22.976,22.85,22.942
2022-01-17 04:00:00+05:30,22.94,22.9697,22.8,22.9038
2022-01-17 08:00:00+05:30,22.9038,23.0238,22.88,22.98
2022-01-17 12:00:00+05:30,22.9778,23.114,22.95,23.03
2022-01-17 16:00:00+05:30,23.017,23.0638,22.91,22.991
2022-01-17 20:00:00+05:30,23.004,23.043,22.92,23.009
2022-01-18 00:00:00+05:30,23.0108,23.0168,22.99,23.01
2022-01-18 04:00:00+05:30,23.0128,23.108,22.96,23.064
2022-01-18 08:00:00+05:30,23.0632,23.084,22.84,22.977
2022-01-18 12:00:00+05:30,22.973,23.011,22.78,22.814
2022-01-18 16:00:00+05:30,22.809,23.527,22.78,23.4318
