time,open,high,low,close
2022-01-03 00:00:00+05:30,23.3197,23.3998,22.65,22.86
2022-01-04 00:00:00+05:30,22.861,23.095,22.62,23.03
2022-01-05 00:00:00+05:30,23.016,23.251,22.83,23.1328
2022-01-06 00:00:00+05:30,23.119,23.1347,21.98,22.113
2022-01-07 00:00:00+05:30,22.102,22.433,21.92,22.362
2022-01-08 00:00:00+05:30,22.345,22.391,22.26,22.343
2022-01-10 00:00:00+05:30,22.3277,22.514,22.17,22.4318
2022-01-11 00:00:00+05:30,22.42,22.782,22.38,22.772
2022-01-12 00:00:00+05:30,22.772,23.209,22.61,23.141
2022-01-13 00:00:00+05:30,23.143,23.265,22.97,23.11
2022-01-14 00:00:00+05:30,23.112,23.305,22.8,22.86
2022-01-15 00:00:00+05:30,22.8804,22.976,22.85,22.942
2022-01-17 00:00:00+05:30,22.94,23.114,22.8,23.009
2022-01-18 00:00:00+05:30,23.0108,23.632,22.78,23.4589
2022-01-19 00:00:00+05:30,23.46,24.207,23.35,24.131
2022-01-20 00:00:00+05:30,24.132,24.699,24.04,24.608
2022-01-21 00:00:00+05:30,24.593,24.63,24.208,24.305
2022-01-22 00:00:00+05:30,24.306,24.388,24.15,24.259
2022-01-24 00:00:00+05:30,24.2437,24.306,23.53,23.855
2022-01-25 00:00:00+05:30,23.84,24.011,23.58,23.923
2022-01-26 00:00:00+05:30,23.91,23.969,23.56,23.774
2022-01-27 00:00:00+05:30,23.759,23.922,22.55,22.687
2022-01-28 00:00:00+05:30,22.674,22.818,22.13,22.347
2022-01-29 00:00:00+05:30,22.347,22.47,22.19,22.453
2022-01-31 00:00:00+05:30,22.4488,22.639,22.23,22.444
2022-02-01 00:00:00+05:30,22.4408,23.039,22.38,22.5319
2022-02-02 00:00:00+05:30,22.5308,22.863,22.448,22.726
2022-02-03 00:00:00+05:30,22.713,22.727,21.98,22.4026
2022-02-04 00:00:00+05:30,22.39,22.666,22.09,22.506
2022-02-05 00:00:00+05:30,22.491,22.534,22.43,22.486
2022-02-07 00:00:00+05:30,22.4917,23.078,22.479,23.05
2022-02-08 00:00:00+05:30,23.0538,23.241,22.75,23.241
