time,open,high,low,close
2022-01-03 00:00:00+05:30,1828.608,1831.65,1797.3,1801.3
2022-01-10 00:00:00+05:30,1801.56,1829.68,1782.3,1799.9
2022-01-17 00:00:00+05:30,1800.14,1829.144,1798.4,1817.9
2022-01-24 00:00:00+05:30,1818.15,1847.94,1805.0,1841.14
2022-01-31 00:00:00+05:30,1840.8,1853.83,1779.3,1797.89
2022-02-07 00:00:00+05:30,1797.75,1821.23,1787.9,1821.15
2022-02-14 00:00:00+05:30,1821.084,1872.88,1814.4,1871.07
2022-02-21 00:00:00+05:30,1870.94,1908.23,1843.8,1904.82
2022-02-28 00:00:00+05:30,1904.82,1974.398,1877.78,1898.738
2022-03-07 00:00:00+05:30,1898.85,2002.57,1897.2,1992.212
2022-03-14 00:00:00+05:30,1992.19,2070.42,1949.4,1951.023
2022-03-21 00:00:00+05:30,1951.04,1956.02,1894.7,1935.99
2022-03-28 00:00:00+05:30,1935.78,1966.12,1910.2,1927.63
2022-04-04 00:00:00+05:30,1927.454,1949.79,1889.4,1931.974
2022-04-11 00:00:00+05:30,1932.01,1969.798,1914.7,1949.58
2022-04-18 00:00:00+05:30,1949.546,1998.39,1948.8,1979.628
2022-04-25 00:00:00+05:30,1979.81,1982.4,1891.2,1898.64
2022-05-02 00:00:00+05:30,1898.483,1919.9,1854.2,1859.878
2022-05-09 00:00:00+05:30,1859.93,1909.8,1849.9,1853.661
2022-05-16 00:00:00+05:30,1853.63,1865.4,1786.28,1822.42
2022-05-23 00:00:00+05:30,1822.41,1865.44,1806.8,1856.151
2022-05-30 00:00:00+05:30,1856.187,1869.66,1839.95,1854.61
2022-06-06 00:00:00+05:30,1855.71,1874.14,1827.8,1841.52
2022-06-13 00:00:00+05:30,1841.417,1879.45,1823.1,1825.5
2022-06-20 00:00:00+05:30,1825.798,1857.87,1804.7,1838.35
2022-06-27 00:00:00+05:30,1837.242,1847.88,1816.1,1823.74
2022-07-04 00:00:00+05:30,1823.74,1833.05,1783.5,1807.5
2022-07-11 00:00:00+05:30,1807.05,1812.1,1731.6,1734.91
2022-07-18 00:00:00+05:30,1734.892,1745.39,1697.0,1707.67
2022-07-25 00:00:00+05:30,1707.88,1739.27,1680.2,1716.51
2022-08-01 00:00:00+05:30,1716.2,1775.39,1711.1,1769.26
2022-08-08 00:00:00+05:30,1769.138,1794.93,1753.77,1787.34
